RASSF2,ASPA,FTSJ2,TMEM145,DKFZp547O146,CARD19,CTRC,ZNF324,MUL1,BOP1,SP1,SUGT1P1,RPS2P32,ZFP82,EIF2B2,MAGEL2,BCRP3,RACH1,RC3H1,FUS,TXNDC11,ZNF512B,GLIS2,AFF3,SPATA41,BRWD3,BMS1P4,NAA40,EIF5B,BAMBI,PHACTR4,DCAF4,IFI16,PARP2,ANKRD45,TMEM258,SLC5A7,MZF1,CLECL1,NBPF3,KLK3,KLK2,ACPP,TMPRSS2,AR,NKX3-1,STEAP2,FKBP5,CAMKK2,MKI67,TOP2A,CCNB1,CCNE1,CDK1,AURKA,BIRC5
0.656025,0.0182206,0.439513,0.0211582,3.29398,0.442518,0.0,2.92675,0.739652,0.729082,2.21312,0.255493,0.73861,0.249054,0.642327,0.0414232,0.242445,0.589564,2.78512,3.12429,2.12044,0.887743,0.408867,1.87726,0.0201437,1.03014,0.807949,0.640701,1.96481,1.36224,1.51752,0.168983,0.420263,0.471112,0.198855,0.0,0.0,2.15387,0.0960286,0.512765,423.478,47.0708,120.964,24.5867,2.15258,16.863,31.2478,9.45635,21.4508,0.249361,0.0962939,0.0636914,0.0259933,0.097675,0.304769,0.11061
1.42507,0.0,1.16041,0.0,4.56101,1.03191,0.0,1.46467,1.53608,1.23546,3.63517,0.0,0.699347,0.443235,0.959004,0.0646391,0.0907316,0.272571,3.12036,3.18217,2.63941,1.74613,0.697008,3.54299,0.0917004,0.703141,0.827959,1.12294,2.39163,2.09665,1.49961,0.449296,0.570203,0.459202,0.0896655,0.0,0.0,3.43571,0.0,0.758914,881.275,124.064,117.393,17.569,4.36263,49.83,25.6506,12.033,14.9814,0.19957,0.160225,0.415025,0.0,0.489412,0.321266,0.0697897
0.361853,0.0357045,0.438715,0.0,2.1945,0.851773,0.0,1.39287,1.18589,0.700981,3.09948,0.0,0.396669,0.623292,0.424144,0.12074,0.4479,2.87872,2.78342,3.54854,1.77196,1.13865,0.677561,7.23361,0.0108685,1.24745,0.697194,0.782076,2.71795,1.05263,1.74802,0.352743,1.20858,0.609194,0.148024,0.0,0.0731042,1.16268,0.0,0.673275,376.383,67.0808,130.472,26.4284,3.08477,27.9332,24.8244,12.3352,6.22482,0.301369,0.248986,0.249575,0.0868027,0.115067,0.0581858,0.0957479
1.33585,0.0,0.274778,0.104459,2.87149,0.499949,0.0,0.707645,1.05304,0.591895,2.9272,0.0752164,0.0,0.330239,0.754069,0.0339848,0.206296,2.59711,2.64536,2.89155,1.90931,0.943214,0.957739,3.94392,0.0109302,0.903418,0.730462,0.966913,1.92698,0.879219,1.1862,0.258785,1.26446,0.586919,0.129811,0.0,0.0,1.17204,0.0,0.465642,349.16,88.8662,112.035,25.619,2.43195,26.6065,15.9338,7.63343,5.83735,0.0938495,0.0407452,0.0852572,0.0888397,0.0365433,0.0850517,0.0531574
0.458772,0.0,1.38418,0.0755923,3.27708,0.154401,0.0,1.34913,0.688847,1.43012,2.91917,0.0,0.0663204,0.375727,1.06178,0.0233911,1.27784,0.433977,2.78345,1.85475,1.90107,1.1754,0.614069,0.528299,0.0,0.748043,0.870184,1.74757,4.27597,0.301333,1.27843,0.562324,0.757218,0.892899,0.182083,0.0,0.0495946,2.79459,0.0,0.544288,559.925,133.478,132.456,41.8842,2.44929,48.5399,53.8511,7.45327,8.15745,0.423946,0.278796,0.491027,0.0,1.12983,0.349331,0.389142
0.901251,0.0383417,0.894857,0.0139181,3.17002,0.570598,0.0,0.819792,1.07208,1.13599,3.96777,0.151124,0.0526952,0.398954,0.783279,0.0181571,0.325303,0.552527,3.48174,2.69884,3.51645,0.960893,0.690202,2.72906,0.0115617,1.103,0.672237,0.812515,3.07052,1.17748,1.74304,0.443657,1.35225,0.646336,0.0817651,0.0138743,0.00939885,1.87541,0.0563155,0.628294,676.031,90.8951,166.074,33.4532,4.70454,69.5438,22.3821,11.7944,7.3415,0.228,0.0516856,0.206463,0.0339622,0.108764,0.116553,0.0452537
0.772015,0.0,0.477571,0.171733,4.70025,0.18974,0.0,0.900466,0.49961,0.653867,3.09061,0.156051,0.364612,0.222557,0.690224,0.0572419,0.284859,0.583436,3.96678,2.64937,1.96871,0.761786,0.252176,0.993032,0.0360802,1.16968,0.711786,1.04464,2.57616,0.291767,1.93713,0.169021,0.678507,0.504236,0.0251736,0.0,0.0,1.74936,0.0,0.725678,708.432,142.353,393.443,11.4941,3.47036,62.94,40.198,24.4356,13.6383,0.337633,0.179019,0.0895626,0.0981268,0.280928,0.190459,0.198857
0.800791,0.488385,0.927977,0.0,1.70188,0.51396,0.0254109,0.575573,1.03018,0.337691,2.28186,0.0816909,0.103412,0.398322,0.496017,0.0393353,0.0497001,4.71812,1.97666,3.36064,1.45511,0.992403,1.07151,4.96739,0.0441665,0.855565,0.58635,0.94582,2.27979,0.462234,1.58643,0.233318,2.30685,0.713624,0.220062,0.0,0.0,1.11344,0.149436,0.442827,182.192,54.2207,93.8433,21.6081,3.76124,17.3496,11.5155,5.36268,2.42805,0.0943601,0.210635,0.202014,0.0412377,0.208747,0.0356086,0.0660983
0.732175,0.906756,0.0388529,0.0,1.98113,0.424118,0.0,0.451364,0.229302,0.0632113,1.80267,0.712742,0.0,0.0759362,0.268249,0.0142724,0.335953,1.83312,1.48352,2.13771,0.967946,0.354621,0.184925,1.04605,0.0,0.603884,0.523151,0.44591,1.26714,1.57269,1.01599,0.336952,0.585086,0.513081,0.162054,0.0,0.236612,0.772725,0.0,0.539108,71.5684,16.219,14.2416,5.28095,1.49311,35.2842,10.2381,1.29754,1.96571,0.266199,0.200951,0.0172738,0.329498,0.19141,0.34136,0.348342
1.21835,0.293285,0.695822,0.0,4.56009,0.749759,0.0,2.27401,1.02259,0.600509,4.27487,0.239014,0.0740014,0.528171,0.99729,0.105713,0.289005,1.92022,4.08423,4.29602,3.42114,0.768567,0.918037,3.48719,0.0193321,1.205,0.642773,0.764763,3.97331,1.05617,1.58858,0.397605,3.02864,0.70207,0.0734129,0.0,0.0464443,1.26445,0.0429753,0.402423,705.526,58.9292,265.63,22.1255,2.47026,21.6277,23.7236,13.1811,11.5742,0.319453,0.23772,0.129215,0.0124913,0.0959883,0.167325,0.0547707
