iter	Passed	Remaining
0	1	397
1	2	356
2	4	331
3	5	329
4	6	322
5	7	313
6	8	308
7	10	305
8	11	304
9	12	300
10	13	299
11	14	296
12	16	294
13	17	291
14	18	289
15	19	286
16	20	284
17	21	281
18	22	279
19	24	279
20	25	278
21	26	275
22	27	273
23	28	270
24	29	268
25	31	267
26	32	266
27	33	264
28	34	263
29	35	262
30	36	261
31	38	260
32	39	259
33	40	257
34	41	256
35	42	254
36	44	253
37	45	252
38	46	251
39	47	250
40	48	248
41	50	247
42	51	247
43	52	245
44	53	244
45	54	242
46	55	241
47	57	240
48	58	239
49	59	238
50	60	237
51	62	236
52	63	235
53	64	234
54	65	233
55	67	233
56	68	232
57	69	231
58	71	230
59	72	229
60	73	227
61	74	226
62	75	224
63	76	222
64	77	221
65	78	220
66	80	218
67	81	217
68	82	216
69	83	214
70	84	213
71	85	212
72	86	210
73	88	209
74	89	207
75	90	206
76	91	205
77	92	203
78	93	202
79	94	200
80	95	199
81	96	198
82	97	196
83	98	195
84	100	194
85	101	192
86	102	191
87	103	190
88	104	189
89	105	187
90	106	186
91	107	185
92	108	183
93	110	182
94	111	181
95	112	180
96	113	178
97	114	177
98	115	176
99	116	175
100	117	173
101	119	172
102	120	171
103	121	170
104	122	168
105	123	167
106	124	166
107	125	165
108	126	164
109	127	162
110	129	161
111	130	160
112	131	159
113	132	158
114	133	157
115	134	155
116	135	154
117	137	153
118	138	152
119	139	151
120	140	150
121	142	149
122	143	147
123	144	146
124	145	145
125	146	144
126	147	143
127	148	141
128	150	140
129	151	139
130	152	138
131	153	137
132	154	135
133	155	134
134	156	133
135	158	132
136	159	131
137	160	130
138	161	128
139	162	127
140	163	126
141	164	125
142	165	124
143	167	122
144	168	121
145	169	120
146	170	119
147	171	118
148	172	117
149	173	115
150	174	114
151	176	113
152	177	112
153	178	111
154	179	109
155	180	108
156	181	107
157	182	106
158	184	105
159	185	104
160	186	103
161	187	101
162	188	100
163	189	99
164	191	98
165	192	97
166	193	96
167	194	94
168	195	93
169	196	92
170	197	91
171	199	90
172	200	89
173	201	87
174	202	86
175	203	85
176	204	84
177	205	83
178	206	82
179	207	80
180	209	79
181	210	78
182	211	77
183	212	76
184	213	75
185	214	73
186	216	72
187	217	71
188	218	70
189	219	69
190	220	68
191	221	66
192	223	65
193	224	64
194	225	63
195	226	62
196	227	61
197	228	60
198	229	58
199	231	57
200	232	56
201	233	55
202	234	54
203	235	53
204	236	51
205	237	50
206	238	49
207	239	48
208	241	47
209	242	46
210	243	44
211	244	43
212	245	42
213	246	41
214	247	40
215	249	39
216	250	38
217	251	36
218	252	35
219	253	34
220	254	33
221	255	32
222	257	31
223	258	29
224	259	28
225	260	27
226	261	26
227	263	25
228	264	24
229	265	23
230	266	21
231	267	20
232	268	19
233	269	18
234	270	17
235	272	16
236	273	14
237	274	13
238	275	12
239	276	11
240	277	10
241	278	9
242	279	8
243	281	6
244	282	5
245	283	4
246	284	3
247	285	2
248	286	1
249	287	0
