rank,feature,importance,feature_type
1,UBASH3B,0.05078148,gene
2,SOCS2,0.040240325,gene
3,Margin_x_LymphNode,0.036824893,gene
4,SLC20A1,0.03465424,gene
5,RHOC,0.028235497,gene
6,SCA11,0.027490422,gene
7,ADRA1D,0.027126838,gene
8,AR_Signaling_Score,0.025646575,gene
9,SPG20,0.024465181,gene
10,PLAC4,0.024205565,gene
11,CCDC127,0.024097959,gene
12,PSA_Pathway_Score,0.023742544,gene
13,CADM2,0.02231575,gene
14,GSAP,0.021942914,gene
15,TREM2,0.020494577,gene
16,PCNXL4,0.020402258,gene
17,ERGIC1,0.019375384,gene
18,FAM32A,0.019290382,gene
