feature,importance
Primary Lymph Node Presentation Assessment Ind-3_NO,0.09936345
ERICH6,0.038039118
LINC00926,0.037378702
GSAP,0.036080495
DHX57,0.034344614
SLC20A1,0.033929117
SPATA31A2,0.03096722
CNKSR1,0.029770335
DLEU2,0.029255286
ERGIC1,0.02863962
TYW1,0.028541584
BZW2,0.028100586
RPS10,0.026591877
MID2,0.025549034
TRPM1,0.024812467
AEBP2,0.02426617
SYT9,0.02401147
NOG,0.023329662
DIO3,0.023116862
CD109,0.02268473
CCDC127,0.02240105
CGGBP1,0.022392465
SLC38A8,0.021811796
ANXA6,0.021796497
RBBP7,0.021667393
IZUMO1,0.021398026
SPACA9,0.021116393
RNF3A,0.02023665
GBAP1,0.0197901
CHAF1B,0.018853642
TNC,0.018427072
SYT17,0.016643053
COLEC12,0.016074877
C1QTNF7,0.015894208
SZRD1,0.015268835
ADAM10,0.01419742
FAM53A,0.013387441
LOC100170939,0.012699604
C20orf65,0.011123186
GRK1,0.0060478677
