fold,model,auc
1,Logistic Regression,0.7944444444444445
1,Random Forest,0.7777777777777778
1,SVM,0.8425925925925927
1,XGBoost,0.7722222222222223
1,LightGBM,0.7666666666666666
1,CatBoost,0.7888888888888889
2,Logistic Regression,0.8222222222222222
2,Random Forest,0.9388888888888889
2,SVM,0.8648148148148148
2,XGBoost,0.8999999999999999
2,LightGBM,0.8981481481481481
2,CatBoost,0.9055555555555557
3,Logistic Regression,0.9084745762711864
3,Random Forest,0.9423728813559322
3,SVM,0.8932203389830509
3,XGBoost,0.9576271186440679
3,LightGBM,0.9542372881355932
3,CatBoost,0.9338983050847458
4,Logistic Regression,0.8041431261770244
4,Random Forest,0.8041431261770244
4,SVM,0.8192090395480226
4,XGBoost,0.8342749529190207
4,LightGBM,0.8192090395480226
4,CatBoost,0.8097928436911488
5,Logistic Regression,0.879472693032015
5,Random Forest,0.8775894538606402
5,SVM,0.8738229755178908
5,XGBoost,0.8945386064030132
5,LightGBM,0.8587570621468926
5,CatBoost,0.888888888888889
