threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,model
0.05,0.16432302129369225,0.16432302129369225,0.0,clinical_baseline
0.1,0.11789652247667515,0.11789652247667515,0.0,clinical_baseline
0.15,0.06600808262236194,0.06600808262236194,0.0,clinical_baseline
0.2,0.03244274809160305,0.007633587786259555,0.0,clinical_baseline
0.25,0.05852417302798983,0.0,0.0,clinical_baseline
0.3,0.03489640130861503,0.0,0.0,clinical_baseline
0.35,0.010569583088667053,0.0,0.0,clinical_baseline
0.4,0.0,0.0,0.0,clinical_baseline
0.45,0.020124913254684254,0.0,0.0,clinical_baseline
0.5,0.007633587786259541,0.0,0.0,clinical_baseline
0.55,0.05767599660729432,0.0,0.0,clinical_baseline
0.6,0.015267175572519089,0.0,0.0,clinical_baseline
0.65,0.009814612868047981,0.0,0.0,clinical_baseline
0.7,0.002544529262086523,0.0,0.0,clinical_baseline
0.75,0.0,0.0,0.0,clinical_baseline
0.8,0.0,0.0,0.0,clinical_baseline
0.85,0.0,0.0,0.0,clinical_baseline
0.9,0.0,0.0,0.0,clinical_baseline
0.95,0.0,0.0,0.0,clinical_baseline
0.05,0.16432302129369225,0.16432302129369225,0.0,step3_fusion
0.1,0.11789652247667515,0.11789652247667515,0.0,step3_fusion
0.15,0.06600808262236194,0.06600808262236194,0.0,step3_fusion
0.2,0.007633587786259555,0.007633587786259555,0.0,step3_fusion
0.25,0.0,0.0,0.0,step3_fusion
0.3,0.0,0.0,0.0,step3_fusion
0.35,0.0,0.0,0.0,step3_fusion
0.4,0.017811704834605577,0.0,0.0,step3_fusion
0.45,0.0,0.0,0.0,step3_fusion
0.5,0.06106870229007634,0.0,0.0,step3_fusion
0.55,0.05767599660729432,0.0,0.0,step3_fusion
0.6,0.0534351145038168,0.0,0.0,step3_fusion
0.65,0.04798255179934569,0.0,0.0,step3_fusion
0.7,0.0,0.0,0.0,step3_fusion
0.75,0.0,0.0,0.0,step3_fusion
0.8,0.0,0.0,0.0,step3_fusion
0.85,0.0,0.0,0.0,step3_fusion
0.9,0.0,0.0,0.0,step3_fusion
0.95,0.0,0.0,0.0,step3_fusion
0.05,0.16432302129369225,0.16432302129369225,0.0,step4_fusion
0.1,0.11789652247667515,0.11789652247667515,0.0,step4_fusion
0.15,0.0790300853165694,0.06600808262236194,0.0,step4_fusion
0.2,0.03435114503816794,0.007633587786259555,0.0,step4_fusion
0.25,0.005089058524173046,0.0,0.0,step4_fusion
0.3,0.0,0.0,0.0,step4_fusion
0.35,0.015267175572519082,0.0,0.0,step4_fusion
0.4,0.022900763358778622,0.0,0.0,step4_fusion
0.45,0.04649548924358085,0.0,0.0,step4_fusion
0.5,0.06106870229007634,0.0,0.0,step4_fusion
0.55,0.05767599660729432,0.0,0.0,step4_fusion
0.6,0.06870229007633588,0.0,0.0,step4_fusion
0.65,0.022900763358778626,0.0,0.0,step4_fusion
0.7,0.022900763358778626,0.0,0.0,step4_fusion
0.75,0.007633587786259542,0.0,0.0,step4_fusion
0.8,0.0,0.0,0.0,step4_fusion
0.85,0.0,0.0,0.0,step4_fusion
0.9,0.0,0.0,0.0,step4_fusion
0.95,0.0,0.0,0.0,step4_fusion
0.05,0.16110887906789875,0.16432302129369225,0.0,step4_genomic
0.1,0.1119592875318066,0.11789652247667515,0.0,step4_genomic
0.15,0.0691513246519982,0.06600808262236194,0.0,step4_genomic
0.2,0.02480916030534351,0.007633587786259555,0.0,step4_genomic
0.25,0.0,0.0,0.0,step4_genomic
0.3,0.0,0.0,0.0,step4_genomic
0.35,0.0,0.0,0.0,step4_genomic
0.4,0.0,0.0,0.0,step4_genomic
0.45,0.0,0.0,0.0,step4_genomic
0.5,0.0,0.0,0.0,step4_genomic
0.55,0.0,0.0,0.0,step4_genomic
0.6,0.0,0.0,0.0,step4_genomic
0.65,0.0,0.0,0.0,step4_genomic
0.7,0.0,0.0,0.0,step4_genomic
0.75,0.0,0.0,0.0,step4_genomic
0.8,0.0,0.0,0.0,step4_genomic
0.85,0.0,0.0,0.0,step4_genomic
0.9,0.015267175572519083,0.0,0.0,step4_genomic
0.95,0.0,0.0,0.0,step4_genomic
