repeat_seed,fold,n_genomic_features,n_clinical_features,genomic_auc,clinical_auc,seconds_preprocess,seconds_selection,seconds_fit,seconds_total
42,1,40,40,0.5612121212121212,0.7503030303030304,4.0,111.2,0.2,115.4
42,2,40,40,0.6813063063063063,0.8862612612612611,4.3,111.5,0.2,116.0
42,3,40,40,0.6565315315315314,0.7601351351351351,4.3,110.8,0.2,115.3
42,4,40,40,0.6430180180180181,0.7331081081081081,4.3,109.9,0.2,114.4
42,5,40,40,0.48280098280098277,0.7592137592137591,4.3,110.7,0.2,115.2
43,1,40,40,0.5781818181818181,0.8412121212121212,4.2,110.3,0.2,114.7
43,2,40,40,0.5427927927927928,0.8119369369369369,4.3,110.9,0.2,115.5
43,3,40,40,0.5033783783783784,0.713963963963964,4.3,109.9,0.2,114.4
43,4,40,40,0.6148648648648649,0.8085585585585585,4.2,110.9,0.2,115.4
43,5,40,40,0.7321867321867322,0.8513513513513513,4.3,112.2,0.2,116.8
44,1,40,40,0.7272727272727273,0.7503030303030304,4.2,110.2,0.2,114.6
44,2,40,40,0.597972972972973,0.7302927927927927,4.3,110.8,0.2,115.3
44,3,40,40,0.6689189189189189,0.7466216216216216,4.3,110.4,0.2,114.9
44,4,40,40,0.6002252252252251,0.6373873873873873,4.3,115.6,0.2,120.1
44,5,40,40,0.769041769041769,0.8894348894348895,4.3,111.4,0.2,115.9
