repeat_seed,fold,branch,feature,rank
42,1,genomic,DCE,1
42,1,genomic,WDR49,2
42,1,genomic,BUB1B,3
42,1,genomic,EIF5B,4
42,1,genomic,Tumor Other Histologic Subtype_acinar and cribriform,5
42,1,genomic,AHNAK2,6
42,1,genomic,RB1,7
42,1,genomic,DCAF4,8
42,1,genomic,SNAPC3,9
42,1,genomic,SRRM5,10
42,1,genomic,CCNA2,11
42,1,genomic,CD300A,12
42,1,genomic,TMC6,13
42,1,genomic,TRAF3IP3,14
42,1,genomic,CIT,15
42,1,genomic,SPAG5,16
42,1,genomic,CDRT4,17
42,1,genomic,HCG27,18
42,1,genomic,SH3RF2,19
42,1,genomic,TERT,20
42,1,genomic,SSX2IP,21
42,1,genomic,KIF18B,22
42,1,genomic,RBFOX2,23
42,1,genomic,RPS27L,24
42,1,genomic,EPO,25
42,1,genomic,NAA35,26
42,1,genomic,SLC25A43,27
42,1,genomic,FAT1,28
42,1,genomic,GABRA2,29
42,1,genomic,SRCIN1,30
42,1,genomic,NKX6-1,31
42,1,genomic,KIAA0729,32
42,1,genomic,SLC34A3,33
42,1,genomic,FAM71E1,34
42,1,genomic,NDUFAF8,35
42,1,genomic,DGUOK,36
42,1,genomic,ZBTB34,37
42,1,genomic,WFIKKN1,38
42,1,genomic,LILRA1,39
42,1,genomic,CEP57,40
42,1,clinical,Radical Prostatectomy Gleason Score for Prostate Cancer,1
42,1,clinical,Gleason pattern primary,2
42,1,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,3
42,1,clinical,Primary Lymph Node Presentation Assessment Ind-3_NO,4
42,1,clinical,Cause of death source_Death Certificate,5
42,1,clinical,Ct scan ab pelvis results_Distant Metastasis [e.g. cM1],6
42,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T3b,7
42,1,clinical,Mri results_Distant Metastasis [e.g. cM1],8
42,1,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),9
42,1,clinical,Ct scan ab pelvis indicator_YES,10
42,1,clinical,Mri results_No Evidence of Extraprostatic Extension|Equivocal,11
42,1,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",12
42,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",13
42,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T2b,14
42,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8480/3",15
42,1,clinical,Ct scan ab pelvis results_No Evidence of Extraprostatic Extension,16
42,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8255/3",17
42,1,clinical,Surgical Margin Resection Status_RX,18
42,1,clinical,Surgical Margin Resection Status_R2,19
42,1,clinical,Patient Primary Tumor Site_Central Zone,20
42,1,clinical,Tissue Retrospective Collection Indicator_NO,21
42,1,clinical,Tissue Retrospective Collection Indicator_YES,22
42,1,clinical,Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,23
42,1,clinical,Year Cancer Initial Diagnosis,24
42,1,clinical,Tissue Prospective Collection Indicator_YES,25
42,1,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Synchronous/Bilateral Malignancy",26
42,1,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles)|Extraprostatic Extension (regional lymphadenopathy) [e.g. cN1],27
42,1,clinical,Mri results_Equivocal,28
42,1,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),29
42,1,clinical,Diagonstic MRI Result_YES,30
42,1,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],31
42,1,clinical,Diagonstic MRI Result_NO,32
42,1,clinical,Ct scan ab pelvis results_Equivocal,33
42,1,clinical,Mri results_No Evidence of Extraprostatic Extension,34
42,1,clinical,Did patient start adjuvant postoperative radiotherapy?_NO,35
42,1,clinical,Surgical Margin Resection Status_R0,36
42,1,clinical,Primary Therapy Outcome Success Type_Stable Disease,37
42,1,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,38
42,1,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",39
42,1,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,40
42,2,genomic,ACAD9,1
42,2,genomic,RSPO2,2
42,2,genomic,ZNF324,3
42,2,genomic,PBLD,4
42,2,genomic,LIG1,5
42,2,genomic,ACVRL1,6
42,2,genomic,SULF2,7
42,2,genomic,SLC19A1,8
42,2,genomic,SLC30A1,9
42,2,genomic,CD63,10
42,2,genomic,RASSF2,11
42,2,genomic,PHKB,12
42,2,genomic,DBI,13
42,2,genomic,SOX7,14
42,2,genomic,ZNF286A,15
42,2,genomic,CHTF18,16
42,2,genomic,HSPC059,17
42,2,genomic,TGD,18
42,2,genomic,HMX2,19
42,2,genomic,CATSPER1,20
42,2,genomic,PIN1P1,21
42,2,genomic,ACOX1,22
42,2,genomic,PTPRS,23
42,2,genomic,UBL7,24
42,2,genomic,ANKRD26,25
42,2,genomic,FAM72B,26
42,2,genomic,KCNE1,27
42,2,genomic,KCNA4,28
42,2,genomic,Tumor Other Histologic Subtype_Prostatic Adenocarcinoma Acinar Type Mixed with Prostatic Duct Adenocarcinoma,29
42,2,genomic,RHOF,30
42,2,genomic,SNORA74A,31
42,2,genomic,EXD1,32
42,2,genomic,UBE2C,33
42,2,genomic,SUCLG2,34
42,2,genomic,CLN8,35
42,2,genomic,MMP13,36
42,2,genomic,SPAG5,37
42,2,genomic,RNF34,38
42,2,genomic,PPP1CA,39
42,2,genomic,UBB,40
42,2,clinical,Gleason pattern primary,1
42,2,clinical,Did patient start adjuvant postoperative radiotherapy?_NO,2
42,2,clinical,Patient Primary Tumor Site_Central Zone,3
42,2,clinical,Diagonstic MRI Result_YES,4
42,2,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",5
42,2,clinical,Mri results_No Evidence of Extraprostatic Extension,6
42,2,clinical,American Joint Committee on Cancer Tumor Stage Code_T3b,7
42,2,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Synchronous/Bilateral Malignancy",8
42,2,clinical,Gleason pattern secondary,9
42,2,clinical,Ct scan ab pelvis results_Equivocal,10
42,2,clinical,Mri results_Distant Metastasis [e.g. cM1],11
42,2,clinical,Ct scan ab pelvis results_Distant Metastasis [e.g. cM1],12
42,2,clinical,Diagonstic MRI Result_NO,13
42,2,clinical,Ct scan ab pelvis indicator_NO,14
42,2,clinical,Tissue Retrospective Collection Indicator_YES,15
42,2,clinical,Radical Prostatectomy Gleason Score for Prostate Cancer,16
42,2,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8480/3",17
42,2,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,18
42,2,clinical,Cause of death source_Death Certificate,19
42,2,clinical,American Joint Committee on Cancer Tumor Stage Code_T2b,20
42,2,clinical,Year Cancer Initial Diagnosis,21
42,2,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],22
42,2,clinical,Mri results_Equivocal,23
42,2,clinical,Tissue Prospective Collection Indicator_YES,24
42,2,clinical,Primary Lymph Node Presentation Assessment Ind-3_NO,25
42,2,clinical,Ct scan ab pelvis results_No Evidence of Extraprostatic Extension,26
42,2,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,27
42,2,clinical,Mri results_No Evidence of Extraprostatic Extension|Equivocal,28
42,2,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),29
42,2,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles)|Extraprostatic Extension (regional lymphadenopathy) [e.g. cN1],30
42,2,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),31
42,2,clinical,Ct scan ab pelvis indicator_YES,32
42,2,clinical,Surgical Margin Resection Status_RX,33
42,2,clinical,Surgical Margin Resection Status_R0,34
42,2,clinical,Primary Therapy Outcome Success Type_Stable Disease,35
42,2,clinical,Surgical Margin Resection Status_R2,36
42,2,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8140/3",37
42,2,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8255/3",38
42,2,clinical,American Joint Committee on Cancer Tumor Stage Code_T3a,39
42,2,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,40
42,3,genomic,GAD1,1
42,3,genomic,LOC155060,2
42,3,genomic,Tumor Other Histologic Subtype_acinar and cribriform,3
42,3,genomic,Tumor Other Histologic Subtype_Prostatic Adenocarcinoma Acinar Type Mixed with Prostatic Duct Adenocarcinoma,4
42,3,genomic,PARP2,5
42,3,genomic,SARSM,6
42,3,genomic,LINC00205,7
42,3,genomic,BRCA2,8
42,3,genomic,ACTN2,9
42,3,genomic,KLK4,10
42,3,genomic,MED1,11
42,3,genomic,C10orf88,12
42,3,genomic,NKX6-1,13
42,3,genomic,OXR1,14
42,3,genomic,KIAA0729,15
42,3,genomic,SF3B3,16
42,3,genomic,SMO,17
42,3,genomic,PRR3,18
42,3,genomic,COLEC11,19
42,3,genomic,PNPLA4,20
42,3,genomic,AFF3,21
42,3,genomic,NISCH,22
42,3,genomic,NPAS3,23
42,3,genomic,ASH2L,24
42,3,genomic,TROAP,25
42,3,genomic,NTHL1,26
42,3,genomic,CDCA8,27
42,3,genomic,ADGRL1,28
42,3,genomic,NDUFAF8,29
42,3,genomic,C16orf91,30
42,3,genomic,CD81,31
42,3,genomic,CSMD2,32
42,3,genomic,CARD19,33
42,3,genomic,IGDCC3,34
42,3,genomic,SUCLA2,35
42,3,genomic,DNAH12,36
42,3,genomic,NPLOC4,37
42,3,genomic,FLJ20092,38
42,3,genomic,WDR75,39
42,3,genomic,DCAF8,40
42,3,clinical,Radical Prostatectomy Gleason Score for Prostate Cancer,1
42,3,clinical,American Joint Committee on Cancer Tumor Stage Code_T3b,2
42,3,clinical,American Joint Committee on Cancer Tumor Stage Code_T4,3
42,3,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Synchronous/Bilateral Malignancy",4
42,3,clinical,Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,5
42,3,clinical,Primary Lymph Node Presentation Assessment Ind-3_NO,6
