feature,fold_events,fresh_events,n_selected,n_events,stability,stable_at_0.70,mean_rank_when_selected
Person Neoplasm Status_WITH TUMOR,15,20,35,35,1.0,True,1.4
Year Cancer Initial Diagnosis,12,20,32,35,0.9143,True,8.9
SEX,9,19,28,35,0.8,True,22.6
Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),14,13,27,35,0.7714,True,25.1
Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,12,15,27,35,0.7714,True,14.6
Surgical Margin Resection Status_R0,12,14,26,35,0.7429,True,22.6
Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2,9,16,25,35,0.7143,True,28.6
Primary Therapy Outcome Success Type_Partial Remission/Response,9,16,25,35,0.7143,True,13.0
American Joint Committee on Cancer Tumor Stage Code_T2a,11,13,24,35,0.6857,False,24.1
"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",11,12,23,35,0.6571,False,24.6
Tissue Prospective Collection Indicator_YES,11,12,23,35,0.6571,False,24.1
Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3a,10,13,23,35,0.6571,False,14.3
Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3b,12,10,22,35,0.6286,False,19.3
Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],9,13,22,35,0.6286,False,23.8
"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8500/3",10,11,21,35,0.6,False,29.3
Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T1c,9,12,21,35,0.6,False,15.9
Tumor Level_Apex|Base,9,12,21,35,0.6,False,22.3
Primary Therapy Outcome Success Type_Progressive Disease,7,14,21,35,0.6,False,13.9
Person Neoplasm Status_TUMOR FREE,11,9,20,35,0.5714,False,2.2
American Joint Committee on Cancer Tumor Stage Code_T4,10,10,20,35,0.5714,False,26.2
Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2b,6,14,20,35,0.5714,False,26.8
Diagonstic MRI Result_YES,11,8,19,35,0.5429,False,24.5
Gleason pattern tertiary_3,9,10,19,35,0.5429,False,18.0
Primary Tumor Laterality_Left,9,10,19,35,0.5429,False,16.3
