run_seed,branch,feature,rank
500,genomic,C8orf58,1
500,genomic,CDC37,2
500,genomic,APOC4,3
500,genomic,FTSJ2,4
500,genomic,CYB5B,5
500,genomic,TMEM145,6
500,genomic,EIF2S2,7
500,genomic,ANO8,8
500,genomic,F3,9
500,genomic,SEMA4A,10
500,genomic,SUGT1P1,11
500,genomic,RPS2P32,12
500,genomic,TREM2,13
500,genomic,ANKL1,14
500,genomic,CENPA,15
500,genomic,BRI3,16
500,genomic,VWA8,17
500,genomic,BTG2,18
500,genomic,RAC3,19
500,genomic,RAG1,20
500,genomic,PLEKHH1,21
500,genomic,FAM3B,22
500,genomic,CEP95,23
500,genomic,SLITRK6,24
500,genomic,KIAA1508,25
500,genomic,INHBE,26
500,genomic,ZNF512B,27
500,genomic,LPPR2,28
500,genomic,CHAD,29
500,genomic,SEPT8,30
500,genomic,PHACTR4,31
500,genomic,LOC399815,32
500,genomic,ZHX3,33
500,genomic,OR52E6,34
500,genomic,ASAH2C,35
500,genomic,ACAP3,36
500,genomic,RAD51,37
500,genomic,TMEM263,38
500,genomic,PSMD10,39
500,genomic,MZF1,40
500,clinical,Person Neoplasm Status_WITH TUMOR,1
500,clinical,Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,2
500,clinical,Radical Prostatectomy Gleason Score for Prostate Cancer,3
500,clinical,Year Cancer Initial Diagnosis,4
500,clinical,Surgical Margin Resection Status_R0,5
500,clinical,American Joint Committee on Cancer Tumor Stage Code_T2c,6
500,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,7
500,clinical,Gleason pattern tertiary_4,8
500,clinical,Primary Tumor Laterality_Right,9
500,clinical,Gleason pattern primary,10
500,clinical,Diagonstic MRI Result_NO,11
500,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,12
500,clinical,Mri results_No Evidence of Extraprostatic Extension,13
500,clinical,American Joint Committee on Cancer Tumor Stage Code_T2b,14
500,clinical,Cause of death source_Medical Record,15
500,clinical,Primary Tumor Laterality_Left,16
500,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",17
500,clinical,Gleason pattern tertiary_5,18
500,clinical,Ct scan ab pelvis indicator_YES,19
500,clinical,SEX,20
500,clinical,Ct scan ab pelvis results_Extraprostatic Extension  Localized (e.g. seminal vesicles),21
500,clinical,American Joint Committee on Cancer Tumor Stage Code_T2a,22
500,clinical,Surgical Margin Resection Status_R1,23
500,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_NO,24
500,clinical,Gleason pattern tertiary_3,25
500,clinical,Patient Primary Tumor Site_Transition Zone,26
