feature,fold_events,fresh_events,n_selected,n_events,stability,stable_at_0.70,mean_rank_when_selected
TROAP,4,9,13,35,0.3714,False,11.8
ACVRL1,3,10,13,35,0.3714,False,5.6
ORC2,4,7,11,35,0.3143,False,9.1
KIAA1508,3,7,10,35,0.2857,False,21.0
TAOK3,2,8,10,35,0.2857,False,7.3
TEDC2,2,8,10,35,0.2857,False,32.2
B2M,4,5,9,35,0.2571,False,17.9
FTSJ2,4,5,9,35,0.2571,False,4.7
C8orf58,1,8,9,35,0.2571,False,2.2
FAM3B,1,8,9,35,0.2571,False,21.7
LPPR2,1,8,9,35,0.2571,False,27.0
TAL1,8,0,8,35,0.2286,False,7.4
ANO8,4,4,8,35,0.2286,False,11.8
ARHGEF11,2,6,8,35,0.2286,False,29.1
LIG1,1,7,8,35,0.2286,False,18.4
MRPS26,1,7,8,35,0.2286,False,2.9
NAA40,0,8,8,35,0.2286,False,29.2
NXF1,0,8,8,35,0.2286,False,34.1
DFNB42,2,5,7,35,0.2,False,16.6
INHBE,2,5,7,35,0.2,False,29.3
SKAP1,2,5,7,35,0.2,False,24.4
TMEM52B,2,5,7,35,0.2,False,15.0
YTHDC2,2,5,7,35,0.2,False,30.9
BTBD7,1,6,7,35,0.2,False,23.6
BTG2,1,6,7,35,0.2,False,18.4
RASSF2,1,6,7,35,0.2,False,4.1
DCAF4,0,7,7,35,0.2,False,32.0
KCNK12,0,7,7,35,0.2,False,8.4
LGALS8,0,7,7,35,0.2,False,22.4
PLEKHH1,0,7,7,35,0.2,False,24.6
SENP8,0,7,7,35,0.2,False,38.7
VWA8,0,7,7,35,0.2,False,18.3
ZNF512B,0,7,7,35,0.2,False,26.4
SIPA1L2,6,0,6,35,0.1714,False,23.3
INE2,3,3,6,35,0.1714,False,2.8
SH3RF2,3,3,6,35,0.1714,False,10.3
ACAP3,2,4,6,35,0.1714,False,27.5
FAM24B,2,4,6,35,0.1714,False,14.5
PRRG4,2,4,6,35,0.1714,False,7.3
ATP6V0E2-AS1,1,5,6,35,0.1714,False,5.8
GRM6,1,5,6,35,0.1714,False,12.0
SPATA41,1,5,6,35,0.1714,False,26.3
TREM2,1,5,6,35,0.1714,False,18.8
ZHX3,1,5,6,35,0.1714,False,30.8
ANKRD39,0,6,6,35,0.1714,False,22.8
ASAP2,0,6,6,35,0.1714,False,5.3
EIF2B2,0,6,6,35,0.1714,False,17.0
LQFBS-1,0,6,6,35,0.1714,False,2.0
MAGEL2,0,6,6,35,0.1714,False,15.3
MZF1,0,6,6,35,0.1714,False,38.8
NDUFA5,0,6,6,35,0.1714,False,6.5
PCED1A,0,6,6,35,0.1714,False,31.7
PSMD10,0,6,6,35,0.1714,False,36.5
RAG1,0,6,6,35,0.1714,False,21.3
SAMHD1,0,6,6,35,0.1714,False,11.8
SEMA4A,0,6,6,35,0.1714,False,13.0
SWSAP1,0,6,6,35,0.1714,False,37.5
TSSK3,0,6,6,35,0.1714,False,31.0
BOP1,2,3,5,35,0.1429,False,14.6
CYB5B,2,3,5,35,0.1429,False,10.0
PAXIP1-AS1,2,3,5,35,0.1429,False,18.4
PMAIP1,2,3,5,35,0.1429,False,29.8
PRR3,2,3,5,35,0.1429,False,35.6
CEP95,1,4,5,35,0.1429,False,23.6
CHAD,1,4,5,35,0.1429,False,26.8
SLC15A1,1,4,5,35,0.1429,False,12.6
SLC34A3,1,4,5,35,0.1429,False,20.2
SNHG1,1,4,5,35,0.1429,False,12.0
THBS2,1,4,5,35,0.1429,False,8.8
UQCRC2,1,4,5,35,0.1429,False,32.0
ACTR5,0,5,5,35,0.1429,False,29.0
BEND7,0,5,5,35,0.1429,False,13.4
CARD19,0,5,5,35,0.1429,False,4.8
CDC37,0,5,5,35,0.1429,False,1.8
F3,0,5,5,35,0.1429,False,12.0
FLJ44635,0,5,5,35,0.1429,False,19.4
FOXP1,0,5,5,35,0.1429,False,25.2
FUNDC1,0,5,5,35,0.1429,False,20.6
GABPB2,0,5,5,35,0.1429,False,13.6
GTF3C6,0,5,5,35,0.1429,False,9.6
MAPK11,0,5,5,35,0.1429,False,14.2
MOV10L1,0,5,5,35,0.1429,False,17.8
MUL1,0,5,5,35,0.1429,False,10.4
PAN2,0,5,5,35,0.1429,False,13.2
PTGER1,0,5,5,35,0.1429,False,22.2
RAC2,0,5,5,35,0.1429,False,37.4
SC5D,0,5,5,35,0.1429,False,25.2
SOX2-OT,0,5,5,35,0.1429,False,24.6
UBL7,4,0,4,35,0.1143,False,7.5
MMADHC,2,2,4,35,0.1143,False,9.8
BRICD5,1,3,4,35,0.1143,False,15.0
DKFZp547O146,1,3,4,35,0.1143,False,10.5
KIAA0513,1,3,4,35,0.1143,False,35.5
NDUFAF8,1,3,4,35,0.1143,False,22.5
PARP2,1,3,4,35,0.1143,False,26.0
PBLD,1,3,4,35,0.1143,False,16.2
SDHAL2,1,3,4,35,0.1143,False,24.5
SUGT1P1,1,3,4,35,0.1143,False,18.5
ZNF324,1,3,4,35,0.1143,False,11.2
ASAH2C,0,4,4,35,0.1143,False,35.2
ATP6V0A2,0,4,4,35,0.1143,False,18.8
